#ID,,,,,,,,
21,,,,,,,,
X_position,Y_position,Time,year,month,day,hour,minute,second
734.69592,365.02967,56261.216,2017,9,28,15,37,41.216
727.47335,361.72249,56261.226,2017,9,28,15,37,41.226
705.00313,352.62775,56261.246,2017,9,28,15,37,41.246
680.9279,344.35981,56261.266,2017,9,28,15,37,41.266
656.85266,335.26507,56261.296,2017,9,28,15,37,41.296
631.97492,327.82392,56261.317,2017,9,28,15,37,41.317
599.0721,317.90239,56261.346,2017,9,28,15,37,41.346
575.79937,311.28804,56261.366,2017,9,28,15,37,41.366
554.13166,304.67368,56261.386,2017,9,28,15,37,41.386
533.26646,298.88612,56261.416,2017,9,28,15,37,41.416
514.00627,293.92536,56261.436,2017,9,28,15,37,41.436
497.95611,290.61818,56261.466,2017,9,28,15,37,41.466
485.9185,287.311,56261.486,2017,9,28,15,37,41.486
472.27586,282.35024,56261.506,2017,9,28,15,37,41.506
465.05329,279.04306,56261.526,2017,9,28,15,37,41.526
459.43574,275.73589,56261.546,2017,9,28,15,37,41.546
456.22571,273.2555,56261.576,2017,9,28,15,37,41.576
451.41066,269.94833,56261.596,2017,9,28,15,37,41.596
445.7931,265.81435,56261.617,2017,9,28,15,37,41.617
440.17555,261.68038,56261.646,2017,9,28,15,37,41.646
437.76803,259.2,56261.666,2017,9,28,15,37,41.666
436.16301,257.54641,56261.686,2017,9,28,15,37,41.686
435.3605,255.89282,56261.707,2017,9,28,15,37,41.707
435.3605,255.06603,56261.756,2017,9,28,15,37,41.756
437.76803,255.06603,56261.806,2017,9,28,15,37,41.806
443.38558,256.71962,56261.836,2017,9,28,15,37,41.836
448.20063,258.37321,56261.856,2017,9,28,15,37,41.856
451.41066,260.02679,56261.876,2017,9,28,15,37,41.876
455.4232,261.68038,56261.906,2017,9,28,15,37,41.906
457.02821,263.33397,56261.926,2017,9,28,15,37,41.926
457.83072,264.16077,56261.926,2017,9,28,15,37,41.926
459.43574,264.98756,56261.946,2017,9,28,15,37,41.946
461.04075,265.81435,56261.976,2017,9,28,15,37,41.976
464.25078,267.46794,56261.996,2017,9,28,15,37,41.996
467.46082,269.12153,56262.016,2017,9,28,15,37,42.016
469.86834,269.94833,56262.046,2017,9,28,15,37,42.046
472.27586,270.77512,56262.066,2017,9,28,15,37,42.066
475.48589,272.42871,56262.086,2017,9,28,15,37,42.086
476.2884,273.2555,56262.096,2017,9,28,15,37,42.096
478.69592,274.0823,56262.116,2017,9,28,15,37,42.116
481.90596,276.56268,56262.136,2017,9,28,15,37,42.136
482.70846,276.56268,56262.166,2017,9,28,15,37,42.166
483.51097,276.56268,56262.267,2017,9,28,15,37,42.267
484.31348,274.90909,56262.296,2017,9,28,15,37,42.296
484.31348,274.0823,56262.326,2017,9,28,15,37,42.326
485.9185,273.2555,56262.366,2017,9,28,15,37,42.366
486.721,272.42871,56262.386,2017,9,28,15,37,42.386
487.52351,271.60191,56262.416,2017,9,28,15,37,42.416
489.12853,271.60191,56262.446,2017,9,28,15,37,42.446
491.53605,270.77512,56262.466,2017,9,28,15,37,42.466
493.94357,270.77512,56262.496,2017,9,28,15,37,42.496
494.74608,269.94833,56262.496,2017,9,28,15,37,42.496
496.3511,269.12153,56262.527,2017,9,28,15,37,42.527
497.15361,268.29474,56262.547,2017,9,28,15,37,42.547
497.95611,268.29474,56262.566,2017,9,28,15,37,42.566
497.95611,267.46794,56262.596,2017,9,28,15,37,42.596
498.75862,266.64115,56262.636,2017,9,28,15,37,42.636
499.56113,264.98756,56262.666,2017,9,28,15,37,42.666
500.36364,264.16077,56262.686,2017,9,28,15,37,42.686
500.36364,263.33397,56262.706,2017,9,28,15,37,42.706
500.36364,262.50718,56262.827,2017,9,28,15,37,42.827
500.36364,261.68038,56262.856,2017,9,28,15,37,42.856
500.36364,260.02679,56262.896,2017,9,28,15,37,42.896
499.56113,257.54641,56262.916,2017,9,28,15,37,42.916
497.95611,255.06603,56262.946,2017,9,28,15,37,42.946
496.3511,252.58565,56262.976,2017,9,28,15,37,42.976
495.54859,251.75885,56262.997,2017,9,28,15,37,42.997
493.94357,250.93206,56263.026,2017,9,28,15,37,43.026
493.14107,249.27847,56263.056,2017,9,28,15,37,43.056
492.33856,249.27847,56263.076,2017,9,28,15,37,43.076
492.33856,248.45167,56263.106,2017,9,28,15,37,43.106
493.14107,248.45167,56263.156,2017,9,28,15,37,43.156
493.94357,248.45167,56263.386,2017,9,28,15,37,43.386
497.95611,250.10526,56263.436,2017,9,28,15,37,43.436
497.95611,251.75885,56263.466,2017,9,28,15,37,43.466
504.37618,260.85359,56263.476,2017,9,28,15,37,43.476
510.79624,268.29474,56263.507,2017,9,28,15,37,43.507
777.22884,392.31388,56263.996,2017,9,28,15,37,43.996
777.22884,391.48708,56264.006,2017,9,28,15,37,44.006
777.22884,390.66029,56264.017,2017,9,28,15,37,44.017
778.83386,384.87273,56264.036,2017,9,28,15,37,44.036
786.85893,381.56555,56264.066,2017,9,28,15,37,44.066
789.26646,379.91196,56264.086,2017,9,28,15,37,44.086
792.47649,378.25837,56264.156,2017,9,28,15,37,44.156
829.39185,385.69952,56264.156,2017,9,28,15,37,44.156
843.03448,393.96746,56264.176,2017,9,28,15,37,44.176
859.88715,403.0622,56264.196,2017,9,28,15,37,44.196
875.1348,412.98373,56264.217,2017,9,28,15,37,44.217
885.5674,418.77129,56264.246,2017,9,28,15,37,44.246
898.40752,426.21244,56264.257,2017,9,28,15,37,44.257
909.64263,431.17321,56264.276,2017,9,28,15,37,44.276
915.26019,433.65359,56264.296,2017,9,28,15,37,44.296
922.48276,436.13397,56264.326,2017,9,28,15,37,44.326
923.28527,436.96077,56264.346,2017,9,28,15,37,44.346
924.89028,440.26794,56264.366,2017,9,28,15,37,44.366
924.89028,441.92153,56264.386,2017,9,28,15,37,44.386
920.87774,442.74833,56264.407,2017,9,28,15,37,44.407
917.66771,442.74833,56264.426,2017,9,28,15,37,44.426
929.70533,734.6067,56333.737,2017,9,28,15,38,53.737
932.11285,735.43349,56333.747,2017,9,28,15,38,53.747
941.74295,740.39426,56333.777,2017,9,28,15,38,53.777
953.78056,749.489,56333.797,2017,9,28,15,38,53.797
956.9906,751.96938,56333.987,2017,9,28,15,38,53.987
942.54545,756.10335,56334.007,2017,9,28,15,38,54.007
940.13793,755.27656,56334.027,2017,9,28,15,38,54.027
938.53292,753.62297,56334.057,2017,9,28,15,38,54.057
937.73041,752.79617,56334.087,2017,9,28,15,38,54.087
937.73041,751.96938,56334.117,2017,9,28,15,38,54.117
934.52038,751.14258,56334.137,2017,9,28,15,38,54.137
924.08777,747.00861,56334.167,2017,9,28,15,38,54.167
911.24765,738.74067,56334.187,2017,9,28,15,38,54.187
904.02508,733.7799,56334.217,2017,9,28,15,38,54.217
891.98746,727.16555,56334.247,2017,9,28,15,38,54.247
879.14734,719.7244,56334.267,2017,9,28,15,38,54.267
869.51724,713.93684,56334.287,2017,9,28,15,38,54.287
859.08464,704.84211,56334.307,2017,9,28,15,38,54.307
846.24451,695.74737,56334.337,2017,9,28,15,38,54.337
835.81191,688.30622,56334.357,2017,9,28,15,38,54.357
826.98433,682.51866,56334.377,2017,9,28,15,38,54.377
822.97179,679.21148,56334.397,2017,9,28,15,38,54.397
817.35423,675.07751,56334.427,2017,9,28,15,38,54.427
812.53918,670.94354,56334.447,2017,9,28,15,38,54.447
809.32915,668.46316,56334.467,2017,9,28,15,38,54.467
803.7116,664.32919,56334.487,2017,9,28,15,38,54.487
798.89655,661.02201,56334.507,2017,9,28,15,38,54.507
798.09404,660.19522,56334.527,2017,9,28,15,38,54.527
795.68652,657.71483,56334.547,2017,9,28,15,38,54.547
791.67398,652.75407,56334.577,2017,9,28,15,38,54.577
781.24138,642.83254,56334.607,2017,9,28,15,38,54.607
763.58621,622.16268,56334.627,2017,9,28,15,38,54.627
755.56113,613.06794,56334.657,2017,9,28,15,38,54.657
745.93103,600.66603,56334.677,2017,9,28,15,38,54.677
737.10345,589.9177,56334.697,2017,9,28,15,38,54.697
730.68339,581.64976,56334.717,2017,9,28,15,38,54.717
722.65831,572.55502,56334.737,2017,9,28,15,38,54.737
714.63323,560.9799,56334.767,2017,9,28,15,38,54.767
705.00313,548.57799,56334.787,2017,9,28,15,38,54.787
695.37304,534.52249,56334.807,2017,9,28,15,38,54.807
681.73041,519.64019,56334.827,2017,9,28,15,38,54.827
668.08777,505.58469,56334.847,2017,9,28,15,38,54.847
653.64263,491.52919,56334.877,2017,9,28,15,38,54.877
638.39498,476.64689,56334.897,2017,9,28,15,38,54.897
625.55486,462.59139,56334.917,2017,9,28,15,38,54.917
613.51724,448.53589,56334.937,2017,9,28,15,38,54.937
605.49216,440.26794,56334.967,2017,9,28,15,38,54.967
598.26959,433.65359,56334.997,2017,9,28,15,38,54.997
594.25705,427.86603,56335.027,2017,9,28,15,38,55.027
592.65204,423.73206,56335.047,2017,9,28,15,38,55.047
